Compound,Pose,CNNscore,CNNaffinity,CNN_VS
DB12113,Pose_1,0.828438103,6.30356741,5.222115427273024
DB06157,Pose_1,0.857826889,6.08727884,5.221831469792729
DB19215,Pose_1,0.891196072,5.85883093,5.221367111328107
DB15033,Pose_1,0.89841187,5.81036949,5.220104918901846
DB14914,Pose_1,0.89841187,5.81036949,5.220104918901846
DB12555,Pose_1,0.787410557,6.62849188,5.219344483300777
DB07226,Pose_1,0.800846398,6.51563215,5.218020538020496
DB07390,Pose_1,0.836527228,6.23687696,5.217317394725867
DB00777,Pose_1,0.793473005,6.57374907,5.216092428688855
DB07286,Pose_1,0.878551185,5.93589783,5.214990072585429
DB01426,Pose_1,0.871996522,5.98034811,5.2148427522692735
DB15945,Pose_1,0.895716548,5.82038927,5.21341898494064
DB03076,Pose_2,0.766347349,6.80247736,5.213060491468519
DB14998,Pose_1,0.85558486,6.09213209,5.212335981324157
DB04644,Pose_1,0.843121827,6.1807332,5.211111067783556
DB05494,Pose_1,0.878734291,5.9301219,5.2110014633400725
DB07149,Pose_1,0.909513354,5.72806787,5.209754220383336
DB03009,Pose_1,0.871236622,5.97333193,5.20418553277794
DB16189,Pose_1,0.778007209,6.68870497,5.203860685534129
DB06505,Pose_1,0.743498743,6.9969902,5.202253418483318
DB07203,Pose_1,0.779534817,6.67351389,5.202236428988108
DB02195,Pose_3,0.811695218,6.40907097,5.202212258171621
DB16894,Pose_1,0.815543711,6.37847376,5.201924160746524
DB12515,Pose_1,0.829086244,6.27358055,5.201339334630954
DB09078,Pose_1,0.81826973,6.35546732,5.200486527960224
DB02479,Pose_1,0.881298184,5.89912415,5.198887400585543
DB03950,Pose_1,0.881298184,5.89912415,5.198887400585543
DB18792,Pose_1,0.799740851,6.50022554,5.1984959050515345
DB07988,Pose_1,0.746642888,6.96228409,5.1983399000340516
DB06882,Pose_1,0.825989068,6.29335022,5.198238482815395
DB09123,Pose_1,0.805965781,6.44958353,5.198143626881187
DB01807,Pose_1,0.780984342,6.65423775,5.19685549069531
DB08053,Pose_1,0.853196144,6.08962393,5.195643655486126
DB07949,Pose_1,0.906485558,5.73021269,5.194355047753331
DB18903,Pose_1,0.815761209,6.36530352,5.192567695127156
DB09074,Pose_1,0.808485568,6.42094469,5.191241114791234
DB04480,Pose_1,0.794832885,6.52950144,5.189862467166854
DB12895,Pose_1,0.776088655,6.68516922,5.188283988397199
DB19204,Pose_1,0.839900076,6.1750598,5.186433195324545
DB13867,Pose_1,0.831523418,6.23695898,5.186177448975394
DB13701,Pose_1,0.824120104,6.28995752,5.183680445537982
DB03267,Pose_2,0.780347526,6.64175415,5.182876419252732
DB19043,Pose_1,0.730829418,7.09159088,5.182743235524508
DB15145,Pose_1,0.797595441,6.49759865,5.182455060687754
DB11757,Pose_1,0.880707443,5.88422775,5.1822831757321435
DB18282,Pose_1,0.856842756,6.04779434,5.182008770006801
DB03202,Pose_1,0.848320246,6.10535002,5.179292030882506
DB08770,Pose_1,0.820567846,6.31165743,5.179143142024996
DB04866,Pose_1,0.844831467,6.13008118,5.1788854761284915
DB13708,Pose_1,0.871244311,5.94386435,5.178558000293213
DB08178,Pose_1,0.89543575,5.78258276,5.17793133063767
DB04859,Pose_1,0.856396019,6.04220915,5.1745238620253735
DB18918,Pose_1,0.815140724,6.34507895,5.1721322491401605
DB14584,Pose_1,0.818441629,6.31936026,5.172027505432263
DB04186,Pose_1,0.899764717,5.74793386,5.171788082877618
DB02029,Pose_2,0.897203445,5.76378202,5.171285084573059
DB19123,Pose_1,0.776848018,6.65236139,5.167873760841226
DB08899,Pose_1,0.776848018,6.65236139,5.167873760841226
DB12203,Pose_2,0.851477444,6.0682168,5.16694973050186
DB18110,Pose_1,0.883599877,5.8465724,5.166030653511595
DB07787,Pose_1,0.771699965,6.69399881,5.165758647387042
DB18905,Pose_1,0.709545732,7.27842903,5.1643782539014005
DB08138,Pose_1,0.809009135,6.38264894,5.163621297958067
DB07249,Pose_1,0.758152485,6.80792761,5.161447235221611
DB12657,Pose_1,0.848971188,6.07807159,5.1601076585113494
DB03802,Pose_1,0.804519176,6.41333151,5.159648181840035
DB16297,Pose_1,0.832761765,6.19460297,5.158628502771442
DB08047,Pose_1,0.8762061,5.88714409,5.158351563236948
DB19218,Pose_1,0.733675778,7.02913904,5.157109053842173
DB01873,Pose_1,0.748130918,6.8911891,5.155511627494594
