molecule_name,delta_g_inter,dg_inter_sum,dg_inter_max,hbond_percent,moderate_attr_percent,vdw_percent,clash_percent,hbond_strength,clash_strength,favorable_strength,n_interaction_points,n_ligand_atoms
DB00425_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.97364,2.186024,0.034523,1.779359,1.423488,96.797153,0.0,0.033192,0.0,1.344011,281,44
DB00433_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.726138,2.67002,0.030546,3.021148,2.416918,94.561934,0.0,0.066802,0.0,1.648209,331,49
DB00440_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.001408,2.378455,0.02922,1.041667,5.902778,92.708333,0.347222,0.020573,0.008269,1.194554,288,39
DB00442_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.274365,2.368752,0.066851,14.798206,12.107623,71.748879,1.345291,0.581658,0.063861,1.618111,223,35
DB00449_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.624081,2.245734,0.066482,10.38961,6.493506,82.251082,0.865801,0.331803,0.039301,1.33639,231,54
DB00450_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.479442,2.77903,0.056546,5.43131,5.111821,88.178914,1.277955,0.264825,0.042329,1.644113,313,50
DB00477_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.950536,2.138609,0.023228,0.0,1.811594,97.463768,0.724638,0.0,0.014474,1.313252,276,40
DB00478_pose9_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.384153,2.296393,0.044975,8.661417,5.11811,82.283465,3.937008,0.384487,0.145655,1.339087,254,34
DB00480_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.938362,3.039987,0.061569,14.041096,12.328767,72.260274,1.369863,0.519062,0.065607,1.960872,292,32
DB00481_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.206521,1.996675,0.044195,4.385965,3.070175,90.350877,2.192982,0.189121,0.081432,1.118611,228,61
DB00484_pose3_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.579801,2.527027,0.074684,6.993007,5.594406,86.713287,0.699301,0.32202,0.03444,1.368225,286,27
DB00490_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.986086,1.844556,0.016224,0.0,2.109705,97.890295,0.0,0.0,0.0,1.248747,237,59
DB00496_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.031637,3.425281,0.058243,5.684755,4.909561,88.630491,0.775194,0.389327,0.044543,2.170173,387,62
DB00497_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.506254,2.080194,0.021667,0.390625,1.953125,97.65625,0.0,0.00546,0.0,1.17435,256,44
DB00502_pose3_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.187722,2.354954,0.022774,0.348432,1.045296,98.25784,0.348432,0.007578,0.005925,1.434098,287,49
DB00504_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.08294,1.44028,0.030376,1.694915,2.259887,95.480226,0.564972,0.017841,0.005617,0.87495,177,46
DB00518_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.390482,2.765592,0.049545,5.660377,3.459119,88.36478,2.515723,0.341927,0.091503,1.457558,318,33
DB00521_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.541804,3.220125,0.072439,10.385757,2.670623,84.866469,2.077151,0.730077,0.122888,2.007424,337,45
DB00527_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.062899,2.237472,0.037387,3.23741,7.553957,87.410072,1.798561,0.078066,0.035112,1.289041,278,54
DB00530_pose3_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,4.213425,3.424607,0.051196,2.962963,5.679012,90.617284,0.740741,0.143673,0.02517,1.918227,405,52
DB00575_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,1.866682,1.661681,0.03404,8.62069,8.62069,82.758621,0.0,0.175631,0.0,1.077305,174,23
DB00577_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.180928,4.072767,0.062034,12.776413,7.125307,75.921376,4.176904,0.833445,0.228702,2.372774,407,43
DB00582_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.011013,3.035782,0.056861,6.21118,9.006211,82.919255,1.863354,0.24744,0.057976,1.845682,322,39
DB00596_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.078608,2.846505,0.030376,2.089552,5.074627,91.641791,1.19403,0.043572,0.028795,1.600928,335,56
DB00601_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.554776,3.1055,0.043534,3.888889,4.722222,90.555556,0.833333,0.154467,0.024759,1.844177,360,44
DB00604_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.301148,2.587459,0.045732,7.380074,12.915129,76.752768,2.95203,0.175502,0.0563,1.629554,271,61
DB00606_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.570736,3.737438,0.064762,14.730878,7.082153,73.937677,4.249292,0.995291,0.180129,2.20439,353,42
DB00643_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.333069,3.727016,0.060604,12.80654,5.722071,77.656676,3.814714,0.84121,0.186005,2.215764,367,35
DB00650_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.592852,2.93097,0.083675,10.034602,7.958478,75.086505,6.920415,0.589147,0.22246,1.857669,289,57
DB00652_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.935883,2.450559,0.071094,6.959707,3.663004,87.179487,2.197802,0.348363,0.110858,1.599059,273,48
DB00654_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.539752,3.34497,0.053425,5.154639,3.865979,90.206186,0.773196,0.2449,0.034998,2.089329,388,71
DB00661_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.957993,3.239652,0.050569,6.100796,7.161804,84.084881,2.65252,0.248079,0.079907,1.970043,377,69
DB00683_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.929237,2.078737,0.022239,0.740741,1.111111,97.407407,0.740741,0.010598,0.017424,1.214917,270,36
DB00685_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.680417,3.297606,0.048456,3.2,6.133333,89.866667,0.8,0.10295,0.020665,1.824919,375,45
DB00687_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.530227,3.100023,0.096853,7.763975,5.900621,82.298137,4.037267,0.525647,0.191613,1.81011,322,56
DB00690_pose4_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,4.155241,3.454067,0.029378,0.707547,4.481132,94.103774,0.707547,0.017768,0.021827,2.057841,424,50
DB00693_pose3_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.590188,2.881757,0.079969,4.804805,2.102102,90.09009,3.003003,0.357354,0.173884,1.481628,333,37
DB00694_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.865389,3.019906,0.049116,5.91716,7.39645,84.911243,1.775148,0.254296,0.061835,1.753013,338,67
DB00697_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.666422,2.923228,0.082939,12.5,12.5,74.285714,0.714286,0.442196,0.023196,1.87598,280,24
DB00704_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.972164,2.736525,0.057975,6.535948,4.901961,86.928105,1.633987,0.285733,0.070982,1.660611,306,48
DB00712_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.626773,2.329119,0.080154,6.772908,2.390438,87.250996,3.585657,0.392547,0.151442,1.256556,251,31
DB00719_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,1.902769,1.500075,0.05184,9.677419,5.16129,77.419355,7.741935,0.288045,0.155208,0.789269,155,44
DB00730_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.215781,1.810269,0.079428,6.153846,4.102564,87.692308,2.051282,0.231831,0.063798,1.004878,195,21
DB00734_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.043512,3.396884,0.035924,1.715686,6.617647,91.421569,0.245098,0.053965,0.005011,2.092714,408,57
