molecule_name,delta_g_inter,dg_inter_sum,dg_inter_max,hbond_percent,moderate_attr_percent,vdw_percent,clash_percent,hbond_strength,clash_strength,favorable_strength,n_interaction_points,n_ligand_atoms
DB04205_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.658472,3.80203,0.087928,11.340206,2.57732,83.247423,2.835052,0.839428,0.200065,2.204298,388,41
DB04239_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.713037,2.181209,0.047305,7.142857,3.361345,86.97479,2.521008,0.330279,0.049085,1.080662,238,38
DB04243_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.383799,3.508476,0.065998,3.553299,8.375635,87.563452,0.507614,0.197823,0.015794,2.152971,394,37
DB04253_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.094061,3.247446,0.061357,8.433735,5.120482,82.53012,3.915663,0.414884,0.133829,1.835262,332,26
DB04260_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.159757,3.422431,0.082187,16.013072,5.882353,68.300654,9.803922,0.958834,0.486022,2.046118,306,36
DB04261_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,0.507381,0.6621,0.057104,28.571429,10.714286,60.714286,0.0,0.247877,0.0,0.47702,56,7
DB04264_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.560377,3.011024,0.055529,10.544218,9.863946,78.231293,1.360544,0.447377,0.060434,1.874754,294,57
DB04283_pose3_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.515464,2.666882,0.051916,6.164384,4.452055,86.30137,3.082192,0.238144,0.107409,1.545221,292,14
DB04288_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.761506,2.472153,0.020383,0.0,3.773585,94.968553,1.257862,0.0,0.029482,1.444317,318,61
DB04345_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.745758,2.921349,0.02638,2.710843,7.53012,88.855422,0.903614,0.084942,0.020596,1.678685,332,28
DB04366_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.26259,3.079215,0.058878,9.646302,6.430868,81.028939,2.893891,0.490051,0.104671,1.792783,311,43
DB04367_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.899582,2.949825,0.0668,16.027875,6.620209,71.777003,5.574913,0.84115,0.210003,1.787163,287,29
DB04394_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.866785,4.229969,0.041658,4.268293,4.878049,89.430894,1.422764,0.257019,0.063855,2.341207,492,30
DB04421_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.257486,2.982112,0.038833,5.294118,7.058824,85.882353,1.764706,0.143159,0.05144,1.810477,340,87
DB04432_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.561123,2.172304,0.035135,1.908397,4.961832,92.748092,0.381679,0.047293,0.005822,1.265559,262,48
DB04434_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.272007,3.091892,0.036436,3.089888,5.617978,90.449438,0.842697,0.09394,0.018688,1.742152,356,37
DB04452_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.389373,2.982614,0.067593,8.626198,10.543131,78.27476,2.555911,0.367772,0.096368,1.705572,313,48
DB04463_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.017939,2.544402,0.044999,5.442177,4.421769,89.455782,0.680272,0.216037,0.024146,1.569974,294,38
DB04480_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.799326,2.250187,0.029759,1.41844,4.964539,93.262411,0.35461,0.02905,0.006183,1.381336,282,38
DB04485_pose3_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.815958,3.274357,0.082625,10.280374,4.672897,78.193146,6.853583,0.652919,0.257021,1.742182,321,31
DB04512_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,1.933697,1.313765,0.027828,1.257862,8.176101,89.308176,1.257862,0.013554,0.012185,0.813024,159,26
DB04547_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,5.301031,3.578746,0.047316,5.569007,3.1477,89.346247,1.937046,0.382626,0.129375,2.058112,413,104
DB04575_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,4.057375,3.15265,0.034542,2.005013,3.007519,93.984962,1.002506,0.048816,0.029397,1.918413,399,59
DB04587_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.144036,4.397099,0.054973,8.893709,6.941432,80.477223,3.687636,0.607478,0.233167,2.418124,461,49
DB04591_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.319305,3.571354,0.045222,5.392157,5.147059,86.764706,2.696078,0.284629,0.120425,1.945763,408,55
DB04592_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.008801,1.819558,0.048937,5.31401,7.246377,86.956522,0.483092,0.116015,0.028674,1.155118,207,13
DB04599_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.006646,2.423922,0.027754,2.068966,5.517241,91.724138,0.689655,0.038328,0.011388,1.569274,290,29
DB04600_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.40086,3.185259,0.033507,6.19469,7.079646,79.351032,7.374631,0.154323,0.227819,1.770813,339,42
DB04603_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.477525,3.669008,0.050728,11.171662,7.084469,79.291553,2.452316,0.66755,0.155997,2.227119,367,36
DB04607_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.363409,3.584744,0.058085,10.344828,6.366048,81.697613,1.591512,0.599117,0.108218,2.060419,377,44
DB04608_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.594874,2.997609,0.053513,3.380282,5.070423,89.295775,2.253521,0.095615,0.063687,1.724966,355,37
DB04609_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,6.3012,6.165444,0.080787,11.251981,6.973059,79.714739,2.060222,1.107475,0.219105,3.589432,631,79
DB04616_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.853712,3.770055,0.051004,2.455357,6.473214,90.401786,0.669643,0.081702,0.027828,2.210735,448,68
DB04640_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.293034,4.456792,0.114199,11.316397,7.159353,74.595843,6.928406,0.889001,0.378122,2.432546,433,30
DB04643_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,5.082562,4.595157,0.07351,7.862903,5.040323,85.282258,1.814516,0.614071,0.162949,2.595079,496,43
DB04644_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.980136,3.310083,0.051761,9.615385,3.846154,83.516484,3.021978,0.580207,0.157948,1.976975,364,49
DB04645_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,5.029313,4.079114,0.055829,6.073753,3.253796,89.370933,1.301518,0.467085,0.09373,2.225638,461,49
DB04650_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.461908,3.287989,0.060739,7.909605,5.084746,84.745763,2.259887,0.451399,0.093172,1.910546,354,32
DB04655_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.728378,2.397362,0.032197,6.137184,3.249097,88.808664,1.805054,0.218959,0.033723,1.307256,277,27
DB04669_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.593147,3.332699,0.067684,10.876133,7.854985,75.528701,5.740181,0.60965,0.28343,1.846984,331,39
DB04685_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,4.20453,3.883537,0.04944,4.576659,5.720824,86.498856,3.203661,0.229264,0.117699,2.204366,437,60
DB04690_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.245084,2.821932,0.044741,4.375,6.5625,88.125,0.9375,0.121912,0.019476,1.582406,320,42
DB04696_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.033033,2.256927,0.052152,6.425703,4.016064,87.550201,2.008032,0.2999,0.051723,1.348301,249,44
DB04703_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.20264,2.899916,0.037506,1.754386,4.678363,92.982456,0.584795,0.047473,0.010586,1.860048,342,77
DB04704_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.64613,2.227286,0.026181,1.045296,2.787456,96.167247,0.0,0.018854,0.0,1.369008,287,75
DB04706_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.426598,2.840112,0.063084,5.373134,3.283582,89.850746,1.492537,0.306826,0.085913,1.679829,335,75
DB04710_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.522164,3.479297,0.061521,9.51087,7.336957,80.978261,2.173913,0.517386,0.128083,2.096062,368,90
DB04716_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.388912,1.844478,0.063864,8.5,3.5,85.5,2.5,0.304846,0.096107,1.007796,200,39
DB04719_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.253304,4.578951,0.084193,10.660981,5.33049,76.332623,7.675906,0.907524,0.389317,2.484246,469,23
DB04720_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.812316,4.028912,0.085449,5.910165,6.382979,82.978723,4.728132,0.426257,0.247459,2.264068,423,19
DB04721_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.842093,2.314466,0.029066,1.433692,2.867384,93.189964,2.508961,0.027277,0.044271,1.303431,279,24
DB04722_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.751036,3.537291,0.064565,9.139785,9.139785,79.032258,2.688172,0.535656,0.121013,2.31476,372,55
DB04724_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.599219,2.845724,0.068744,4.024768,8.668731,85.139319,2.167183,0.215099,0.07922,1.706539,323,76
DB04725_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.79291,2.907685,0.085493,8.389262,3.020134,82.885906,5.704698,0.599767,0.252882,1.701736,298,49
DB04726_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.555278,2.367951,0.048038,5.447471,8.949416,84.435798,1.167315,0.141005,0.026639,1.230846,257,33
DB04751_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.918341,3.178481,0.055604,6.868132,2.197802,88.461538,2.472527,0.399057,0.127948,1.712046,364,52
DB04761_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,4.110123,3.442628,0.031234,1.456311,3.640777,93.203883,1.699029,0.049964,0.047515,2.090393,412,42
DB04785_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.668713,3.76277,0.067005,5.238095,5.238095,86.190476,3.333333,0.4239,0.162503,2.354905,420,87
DB04787_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.856753,2.392411,0.016447,0.0,0.0,100.0,0.0,0.0,0.0,1.239976,318,36
DB04812_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.874296,2.786197,0.103847,8.633094,6.47482,82.014388,2.877698,0.48801,0.143895,1.63506,278,33
DB04815_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.55017,2.062195,0.021575,0.0,1.465201,98.168498,0.3663,0.0,0.005024,1.056094,273,18
DB04823_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.239381,2.879037,0.086648,9.556314,7.167235,79.863481,3.412969,0.441797,0.198712,1.732005,293,39
DB04824_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.689661,3.178278,0.091076,4.98615,2.770083,89.473684,2.770083,0.426984,0.129549,1.906509,361,38
DB04841_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.578801,2.145315,0.017011,0.35461,1.06383,98.22695,0.35461,0.005696,0.005576,1.254537,282,56
DB04844_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.763963,2.82009,0.026094,1.994302,3.988604,93.447293,0.569801,0.042564,0.011484,1.53285,351,50
DB04849_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.993092,2.510801,0.021583,0.0,2.912621,96.116505,0.970874,0.0,0.02128,1.40005,309,60
DB04852_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,5.376723,4.566034,0.024882,2.389706,5.147059,91.176471,1.286765,0.092217,0.061991,2.257605,544,77
DB04853_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.206409,2.659522,0.030342,2.027027,8.445946,87.162162,2.364865,0.039913,0.057061,1.429279,296,55
DB04854_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.463632,1.892045,0.038832,2.777778,7.407407,88.888889,0.925926,0.048617,0.010517,1.210941,216,38
DB04855_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.359861,2.034774,0.034382,2.904564,5.394191,91.701245,0.0,0.050378,0.0,1.411052,241,83
DB04859_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.91923,1.823665,0.021506,0.0,2.953586,96.202532,0.843882,0.0,0.012009,1.124847,237,60
DB04862_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.597722,3.023546,0.060353,10.062893,3.459119,83.647799,2.830189,0.565452,0.150623,1.702417,318,57
DB04864_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.849951,2.322977,0.028361,2.076125,4.844291,93.079585,0.0,0.042467,0.0,1.390173,289,36
DB04866_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.666652,4.941596,0.076162,5.882353,6.066176,85.661765,2.389706,0.509156,0.144862,2.700143,544,41
DB04876_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.599899,2.168973,0.030213,0.760456,4.18251,93.536122,1.520913,0.012897,0.023929,1.351097,263,47
DB04881_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,5.318343,3.779783,0.055606,6.759907,6.293706,84.382284,2.564103,0.332815,0.12931,2.033768,429,75
DB04887_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,6.420853,4.989391,0.040935,3.436426,5.154639,90.549828,0.859107,0.345855,0.048745,3.039356,582,89
DB04910_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.175389,2.9916,0.043012,8.868502,9.480122,79.816514,1.834862,0.279104,0.048317,1.686707,327,33
DB04917_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.559104,3.191428,0.02912,0.769231,2.564103,96.410256,0.25641,0.023769,0.005978,1.739297,390,44
DB04918_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.155689,3.256201,0.053578,8.092486,6.647399,81.50289,3.757225,0.396561,0.17718,1.846316,346,58
DB04920_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.124461,2.629343,0.075443,10.902256,4.135338,81.954887,3.007519,0.589306,0.101596,1.644627,266,53
DB04946_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.995225,2.713782,0.036909,4.361371,7.165109,88.161994,0.311526,0.139941,0.008262,1.625322,321,58
DB04957_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.280507,2.273571,0.031547,2.888087,2.527076,93.862816,0.722022,0.076095,0.010846,1.491867,277,60
DB04970_pose3_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.276529,2.739941,0.024563,1.785714,4.166667,93.154762,0.892857,0.037189,0.018143,1.628967,336,43
DB05024_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.133192,3.005116,0.03684,5.341246,6.824926,86.646884,1.186944,0.234386,0.065165,1.77545,337,77
DB05039_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.866651,4.415089,0.096492,12.844037,4.357798,77.752294,5.045872,1.146695,0.381272,2.782999,436,57
DB05087_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.393935,1.814334,0.0389,3.333333,9.52381,86.666667,0.47619,0.050388,0.007903,1.073881,210,60
DB05107_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.250031,3.159867,0.034429,4.558405,6.552707,87.464387,1.424501,0.146759,0.039548,1.87645,351,51
DB05166_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.805772,3.970872,0.041915,1.67364,6.066946,91.213389,1.046025,0.060122,0.02731,2.259796,478,57
DB05184_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.66966,2.586602,0.048533,6.920415,4.844291,86.15917,2.076125,0.337047,0.121242,1.458493,289,63
DB05186_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.072422,2.047416,0.024232,1.532567,6.130268,91.954023,0.383142,0.025084,0.005463,1.219034,261,62
DB05198_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.875349,1.920589,0.019272,0.416667,2.083333,97.5,0.0,0.005052,0.0,0.967807,240,46
DB05212_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.764024,2.424751,0.048824,5.947955,4.460967,86.245353,3.345725,0.224198,0.108367,1.39404,269,54
DB05224_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.123892,3.678053,0.050571,6.435644,4.950495,86.881188,1.732673,0.351188,0.071617,2.030044,404,48
DB05226_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.952519,2.36473,0.030947,2.836879,7.446809,88.297872,1.41844,0.061494,0.02746,1.506242,282,43
DB05229_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.088904,2.385283,0.061629,9.053498,5.761317,83.950617,1.234568,0.389304,0.029095,1.532716,243,59
DB05262_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.005553,3.747904,0.060087,9.89011,6.868132,78.021978,5.21978,0.804472,0.287423,2.013254,364,15
DB05288_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.251115,2.310841,0.077394,5.947955,2.60223,90.334572,1.115242,0.317919,0.079391,1.470743,269,58
DB05294_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.735493,2.918173,0.038492,3.714286,6.285714,89.142857,0.857143,0.112843,0.024228,1.673933,350,54
DB05295_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.261737,3.162697,0.092783,6.460674,1.685393,89.044944,2.808989,0.426344,0.16917,1.921816,356,85
DB05300_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.20115,3.307022,0.064253,4.973822,4.450262,88.743455,1.832461,0.385881,0.077138,1.996654,382,58
DB05351_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.011142,3.595111,0.060226,5.329949,4.314721,86.548223,3.807107,0.325005,0.207674,1.898307,394,39
DB05395_pose4_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,4.60846,3.743968,0.078326,4.30839,3.854875,90.929705,0.907029,0.279098,0.04038,2.114876,441,54
DB05399_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,5.166673,3.89508,0.02814,1.978022,8.131868,89.450549,0.43956,0.085137,0.013214,2.423696,455,94
DB05410_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.897374,3.69618,0.074277,9.574468,6.648936,80.851064,2.925532,0.580236,0.19822,2.264632,376,74
DB05424_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.281839,3.509636,0.044509,5.989583,5.989583,86.197917,1.822917,0.330209,0.088386,2.015089,384,59
DB05446_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.584982,3.878833,0.115904,15.606936,7.514451,71.387283,5.491329,1.159718,0.329961,2.441193,346,41
DB05450_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.934753,1.73043,0.024988,1.826484,3.652968,93.607306,0.913242,0.030002,0.017219,1.090195,219,74
DB05482_pose4_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,4.003511,3.469547,0.050121,5.223881,4.477612,89.054726,1.243781,0.280419,0.069311,2.158882,402,49
DB05494_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.237196,2.852023,0.049829,4.790419,4.191617,90.419162,0.598802,0.133041,0.014885,1.720895,334,81
DB05495_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,5.619776,5.933938,0.37146,11.070111,4.243542,76.937269,7.749077,1.582167,0.758952,3.512023,542,62
DB05501_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.085084,3.783414,0.040903,4.269663,4.269663,91.011236,0.449438,0.172987,0.019749,2.267164,445,53
DB05511_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.351513,2.710299,0.070376,7.167235,2.730375,88.054608,2.047782,0.411147,0.062818,1.377983,293,48
DB05519_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.633367,2.884242,0.039409,1.994302,3.988604,94.017094,0.0,0.045983,0.0,1.617586,351,66
DB05546_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.034043,2.172984,0.038738,5.349794,9.053498,83.950617,1.646091,0.087575,0.024357,1.281135,243,70
DB05626_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.193555,3.517826,0.086923,11.977716,4.456825,79.665738,3.899721,0.762718,0.255017,2.224509,359,87
DB05644_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.860971,3.626842,0.098931,8.684211,6.578947,81.052632,3.684211,0.602818,0.199603,2.195842,380,54
DB05659_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.799605,3.122652,0.052122,4.735376,6.963788,88.022284,0.278552,0.152009,0.005822,2.082211,359,46
DB05667_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.108509,3.437326,0.045619,2.463054,6.896552,90.147783,0.492611,0.094735,0.024,2.020207,406,64
DB05676_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.852367,3.31321,0.042645,6.26703,7.356948,85.831063,0.544959,0.1942,0.010979,2.079005,367,56
DB05678_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.650093,2.592107,0.03086,0.862069,1.149425,97.413793,0.574713,0.015923,0.012128,1.522547,348,65
DB05680_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.453854,1.872512,0.051468,3.636364,3.181818,92.272727,0.909091,0.075908,0.010991,1.009898,220,36
DB05686_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.537199,3.015006,0.061659,6.153846,4.923077,88.0,0.923077,0.277499,0.017157,1.616217,325,43
DB05772_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.8425,2.805847,0.031303,2.285714,3.428571,93.428571,0.857143,0.048964,0.018509,1.834189,350,53
DB05825_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,5.022615,4.28969,0.04446,5.485232,5.485232,87.974684,1.054852,0.297447,0.039734,2.605201,474,72
DB05838_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.54514,2.734342,0.045153,3.908795,6.514658,88.273616,1.302932,0.106932,0.029094,1.619079,307,64
DB05861_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.775684,4.396807,0.038117,4.288499,4.288499,90.253411,1.169591,0.219022,0.036458,2.403277,513,46
DB05881_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.207313,2.419647,0.0391,5.119454,2.730375,92.150171,0.0,0.191102,0.0,1.46468,293,40
DB05998_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.99629,3.742357,0.093012,9.693878,2.55102,82.908163,4.846939,0.808313,0.325007,2.161704,392,65
DB06029_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.393469,2.452273,0.0304,1.282051,1.282051,96.153846,1.282051,0.02955,0.021497,1.394427,312,51
DB06042_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.857188,2.95569,0.021253,0.268097,2.680965,96.782842,0.268097,0.006133,0.006806,1.687712,373,50
DB06061_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.461733,2.835586,0.044072,6.369427,6.050955,83.757962,3.821656,0.290426,0.171345,1.561367,314,42
DB06075_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.958817,2.683942,0.040886,6.578947,6.25,84.539474,2.631579,0.238881,0.082358,1.551633,304,55
DB06077_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.417848,2.518526,0.039778,6.020067,5.685619,87.625418,0.668896,0.206812,0.014085,1.586375,299,57
DB06089_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.285581,3.026165,0.061799,7.926829,3.353659,86.585366,2.134146,0.452911,0.148497,1.698457,328,41
DB06097_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.471134,2.967392,0.056184,6.927711,6.024096,85.843373,1.204819,0.361926,0.067637,1.814323,332,80
DB06106_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.000521,3.737367,0.091553,8.244681,10.106383,76.595745,5.053191,0.5977,0.279084,2.072211,376,44
DB06127_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.488877,1.690543,0.038794,3.535354,7.070707,85.858586,3.535354,0.061579,0.047353,1.066017,198,51
DB06144_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.59084,2.419146,0.05286,3.125,6.25,90.277778,0.347222,0.125871,0.005732,1.546804,288,57
DB06157_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.486688,2.684386,0.040123,1.818182,3.939394,93.333333,0.909091,0.06815,0.016733,1.451529,330,58
DB06159_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.628037,5.048346,0.098546,6.849315,9.001957,77.299413,6.849315,0.603295,0.375704,2.547119,511,42
DB06169_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,4.264434,3.915745,0.040819,3.85439,4.282655,91.006424,0.856531,0.187417,0.025282,2.186362,467,44
DB06188_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.25528,1.863495,0.025992,1.369863,3.652968,94.520548,0.456621,0.017878,0.005217,1.077722,219,70
DB06191_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.947425,2.663596,0.051351,4.87013,3.246753,89.285714,2.597403,0.292341,0.110605,1.60213,308,70
DB06193_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.907389,3.746949,0.030227,2.257336,5.191874,91.196388,1.354402,0.073381,0.043755,1.954335,443,43
DB06209_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.771266,2.140811,0.038005,4.4,4.4,91.2,0.0,0.089433,0.0,1.454268,250,46
DB06216_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.023437,2.42057,0.027567,2.711864,5.762712,88.474576,3.050847,0.073743,0.062709,1.396344,295,36
DB06229_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.449757,3.420268,0.03236,1.182033,4.255319,93.853428,0.70922,0.03721,0.023015,2.041118,423,56
